journey,conversion_flg,counts
viewed_favourite_store > Menu > added_item > CheckoutViewController,true,1381
Menu > added_item > CheckoutActivity,true,1303
Menu > added_item > CheckoutViewController,true,1165
Quick_Reorder > CheckoutViewController,true,1025
viewed_favourite_store > added_item > CheckoutViewController,true,753
Menu > added_item > Menu > added_item > CheckoutActivity,true,753
viewed_favourite_store > Menu > added_item > Menu > added_item > CheckoutViewController,true,750
added_item > CheckoutActivity,true,712
added_item > CheckoutViewController,true,672
CheckoutActivity,true,613
Menu > added_item > Menu > added_item > CheckoutViewController,true,557
viewed_favourite_store > Appetizers > added_item > CheckoutViewController,true,498
Appetizers > added_item > CheckoutActivity,true,387
Appetizers > added_item > CheckoutViewController,true,378
CheckoutViewController,true,330
viewed_favourite_store > Menu > added_item > Appetizers > added_item > CheckoutViewController,true,266
viewed_favourite_store > Appetizers > added_item > Menu > added_item > CheckoutViewController,true,250
viewed_favourite_store > Appetizers > added_item > Appetizers > added_item > CheckoutViewController,true,248
Appetizers > added_item > Menu > added_item > CheckoutActivity,true,229
Appetizers > added_item > Appetizers > added_item > CheckoutViewController,true,212
Menu > added_item > Appetizers > added_item > CheckoutActivity,true,204
Appetizers > added_item > Menu > added_item > CheckoutViewController,true,202
Menu > added_item > Appetizers > added_item > CheckoutViewController,true,200
Menu > added_item > Menu > added_item > Menu > added_item > CheckoutActivity,true,176
viewed_favourite_store > Menu > added_item > Menu > added_item > Menu > added_item > CheckoutViewController,true,172
Appetizers > added_item > Appetizers > added_item > CheckoutActivity,true,171
Quick_Reorder > viewed_favourite_store > Menu > added_item > CheckoutViewController,true,161
Quick_Reorder > Menu > added_item > CheckoutViewController,true,135
Menu > added_item > Menu > added_item > Menu > added_item > CheckoutViewController,true,133
viewed_favourite_store > Menu > added_item > Menu > added_item > Appetizers > added_item > CheckoutViewController,true,133
Menu > added_item > Menu > added_item > Appetizers > added_item > CheckoutActivity,true,131
viewed_favourite_store > Menu > added_item > Drinks > added_item > CheckoutViewController,true,112
viewed_favourite_store > Appetizers > added_item > Menu > added_item > Menu > added_item > CheckoutViewController,true,108
viewed_favourite_store > Kids Menu > added_item > CheckoutViewController,true,106
viewed_favourite_store > added_item > Menu > added_item > CheckoutViewController,true,105
viewed_favourite_store > added_item > Appetizers > added_item > CheckoutViewController,true,99
added_item > Menu > added_item > CheckoutActivity,true,91
Quick_Reorder > viewed_favourite_store > Menu > added_item > Menu > added_item > CheckoutViewController,true,91
Menu > added_item > Menu > added_item > Appetizers > added_item > CheckoutViewController,true,84
Appetizers > added_item > Menu > added_item > Menu > added_item > CheckoutActivity,true,83
viewed_favourite_store > Menu > added_item > Sauces & Sides > added_item > CheckoutViewController,true,81
viewed_favourite_store > Appetizers > added_item > Appetizers > added_item > Appetizers > added_item > CheckoutViewController,true,77
viewed_favourite_store > Appetizers > added_item > Appetizers > added_item > Menu > added_item > CheckoutViewController,true,76
Appetizers > added_item > Appetizers > added_item > Appetizers > added_item > CheckoutViewController,true,76
added_item > Menu > added_item > CheckoutViewController,true,76
Quick_Reorder > viewed_favourite_store > added_item > CheckoutViewController,true,71
Menu > added_item > Drinks > added_item > CheckoutViewController,true,68
added_item > Appetizers > added_item > CheckoutViewController,true,68
Appetizers > added_item > Menu > added_item > Menu > added_item > CheckoutViewController,true,67
added_item > Appetizers > added_item > CheckoutActivity,true,66
Menu > added_item > Sauces & Sides > added_item > CheckoutViewController,true,63
Menu > added_item > Menu > added_item > Menu > added_item > Menu > added_item > CheckoutActivity,true,61
Menu > added_item > Drinks > added_item > CheckoutActivity,true,60
Quick_Reorder > Appetizers > added_item > CheckoutViewController,true,55
Kids Menu > added_item > CheckoutActivity,true,55
viewed_favourite_store > Menu > added_item > Appetizers > added_item > Menu > added_item > CheckoutViewController,true,54
viewed_favourite_store > Dessert > added_item > CheckoutViewController,true,53
Menu > added_item > Menu > added_item > Menu > added_item > Menu > added_item > CheckoutViewController,true,53
viewed_favourite_store > Menu > added_item > Menu > CheckoutViewController,true,52
Quick_Reorder > Menu > added_item > Menu > added_item > CheckoutViewController,true,50
Menu > added_item > Menu > CheckoutViewController,true,50
viewed_favourite_store > Menu > added_item > Appetizers > added_item > Appetizers > added_item > CheckoutViewController,true,50
Menu > added_item > Appetizers > added_item > Menu > added_item > CheckoutViewController,true,50
added_item > Drinks > added_item > CheckoutViewController,true,49
Menu > added_item > Appetizers > CheckoutViewController,true,49
Kids Menu > added_item > CheckoutViewController,true,49
Menu > added_item > Sauces & Sides > added_item > CheckoutActivity,true,49
viewed_favourite_store > Appetizers > Menu > added_item > CheckoutViewController,true,48
Quick_Reorder > added_item > CheckoutViewController,true,48
viewed_favourite_store > Appetizers > added_item > Sauces & Sides > added_item > CheckoutViewController,true,47
Dessert > added_item > CheckoutViewController,true,47
Appetizers > added_item > Appetizers > added_item > Menu > added_item > CheckoutViewController,true,46
Quick_Reorder > viewed_favourite_store > Appetizers > added_item > CheckoutViewController,true,44
Appetizers > added_item > Appetizers > added_item > Appetizers > added_item > CheckoutActivity,true,44
viewed_favourite_store > Menu > added_item > Menu > added_item > Menu > added_item > Menu > added_item > CheckoutViewController,true,44
viewed_favourite_store > Menu > added_item > Kids Menu > added_item > CheckoutViewController,true,43
viewed_favourite_store > Menu > added_item > Appetizers > CheckoutViewController,true,43
Appetizers > Menu > added_item > CheckoutActivity,true,43
added_item > Drinks > added_item > CheckoutActivity,true,42
viewed_favourite_store > added_item > Kids Menu > added_item > CheckoutViewController,true,41
Menu > added_item > Dessert > added_item > CheckoutViewController,true,41
Menu > added_item > Appetizers > added_item > Menu > added_item > CheckoutActivity,true,40
added_item > Dessert > added_item > CheckoutActivity,true,40
viewed_favourite_store > Menu > Appetizers > added_item > CheckoutViewController,true,39
viewed_favourite_store > Kids Menu > added_item > Menu > added_item > CheckoutViewController,true,39
viewed_favourite_store > Menu > added_item > Menu > added_item > Menu > added_item > Appetizers > added_item > CheckoutViewController,true,39
Menu > added_item > Dessert > added_item > CheckoutActivity,true,39
