journey,conversion_flg,counts
Menu,false,5029
Quick_Reorder,false,4187
viewed_favourite_store,false,2572
viewed_favourite_store > Menu,false,2098
Appetizers,false,2015
Menu > added_item,false,975
viewed_favourite_store > Appetizers,false,896
Appetizers > Menu,false,774
Menu > Appetizers,false,628
Drinks,false,618
added_item,false,604
Appetizers > added_item,false,433
Menu > Appetizers > Menu,false,346
viewed_favourite_store > Menu > added_item,false,316
viewed_favourite_store > Appetizers > Menu,false,302
Menu > added_item > Menu > added_item,false,294
Dessert,false,288
Kids Menu,false,259
viewed_favourite_store > Menu > Appetizers,false,251
viewed_favourite_store > Drinks,false,232
Quick_Reorder > viewed_favourite_store,false,228
Menu > added_item > Menu,false,191
Appetizers > added_item > Menu > added_item,false,165
Quick_Reorder > viewed_favourite_store > Menu,false,164
viewed_favourite_store > Appetizers > added_item,false,160
Appetizers > added_item > Appetizers > added_item,false,153
viewed_favourite_store > added_item,false,153
Quick_Reorder > Menu,false,146
viewed_favourite_store > Dessert,false,138
Menu > added_item > Appetizers > added_item,false,133
Menu > Sauces & Sides,false,132
viewed_favourite_store > Kids Menu,false,129
viewed_favourite_store > Quick_Reorder,false,124
Sauces & Sides,false,121
viewed_favourite_store > Menu > Appetizers > Menu,false,115
Appetizers > added_item > Menu,false,111
Family Value Bundles,false,110
Drinks > Menu,false,110
Menu > Drinks,false,107
viewed_favourite_store > Menu > added_item > Menu > added_item,false,107
Appetizers > Menu > Appetizers,false,99
Menu > Kids Menu,false,89
Kids Menu > Menu,false,89
Menu > added_item > Menu > added_item > Menu > added_item,false,87
Appetizers > added_item > Appetizers,false,72
Menu > Sauces & Sides > Menu,false,71
Quick_Reorder > Appetizers,false,71
Sauces & Sides > Menu,false,69
viewed_favourite_store > ,false,68
viewed_favourite_store > Menu > added_item > Menu,false,67
Menu > added_item > Appetizers,false,67
viewed_favourite_store > Appetizers > added_item > Menu > added_item,false,66
added_item > Appetizers > added_item,false,64
Appetizers > Menu > Sauces & Sides,false,61
Quick_Reorder > viewed_favourite_store > Appetizers,false,60
Dessert > Menu,false,59
added_item > Menu > added_item,false,57
Appetizers > Menu > added_item,false,57
viewed_favourite_store > Appetizers > added_item > Appetizers > added_item,false,56
viewed_favourite_store > Sauces & Sides,false,56
added_item > Menu,false,56
Appetizers > added_item > Menu > added_item > Menu > added_item,false,54
Menu > Dessert,false,54
Drinks > Appetizers,false,54
Kids Menu > added_item,false,53
Menu > Menu Extras,false,53
viewed_favourite_store > Menu > Sauces & Sides,false,53
viewed_favourite_store > Menu > added_item > Appetizers > added_item,false,51
Menu > added_item > Menu > added_item > Appetizers > added_item,false,49
Quick_Reorder > Menu > added_item,false,48
Menu Extras,false,47
viewed_favourite_store > Kids Menu > Menu,false,46
Dessert > added_item,false,45
viewed_favourite_store > Appetizers > Menu > Appetizers,false,44
Appetizers > Sauces & Sides,false,44
Menu > Kids Menu > Menu,false,43
Appetizers > added_item > Appetizers > added_item > Appetizers > added_item,false,42
Appetizers > Menu > Appetizers > Menu,false,41
Appetizers > Menu > Dessert,false,40
Quick_Reorder > viewed_favourite_store > Quick_Reorder,false,39
Menu > Appetizers > added_item,false,39
Menu > added_item > Drinks > added_item,false,38
viewed_favourite_store > Drinks > Menu,false,38
viewed_favourite_store > Appetizers > added_item > Menu,false,36
Menu > Dessert > Menu,false,36
Menu > Drinks > Menu,false,36
Menu > ,false,34
Appetizers > Dessert,false,34
 > Menu,false,33
Menu > added_item > Menu > added_item > Menu > added_item > Menu > added_item,false,33
added_item > Appetizers,false,33
Menu > Menu Extras > Menu,false,32
Appetizers > Drinks,false,32
Sauces & Sides > Appetizers,false,32
viewed_favourite_store > Menu > viewed_favourite_store > Menu,false,31
viewed_favourite_store > Menu > Drinks,false,31
Menu > added_item > Dessert > added_item,false,31
viewed_favourite_store > Menu > Kids Menu,false,31
viewed_favourite_store > Menu > added_item > Appetizers,false,31
viewed_favourite_store > Family Value Bundles,false,29
Menu > added_item > Menu > added_item > Menu,false,28
Menu > Appetizers > Menu > Appetizers,false,28
Quick_Reorder > Appetizers > added_item,false,28
Quick_Reorder > viewed_favourite_store > Menu > added_item,false,28
Drinks > added_item,false,28
Menu Extras > Menu,false,28
Menu > added_item > Drinks,false,27
viewed_favourite_store > Menu > Sauces & Sides > Menu,false,27
Appetizers > Menu > Sauces & Sides > Menu,false,27
viewed_favourite_store > added_item > Appetizers > added_item,false,27
Appetizers > Kids Menu,false,27
Kids Menu > Appetizers,false,27
Menu > added_item > Sauces & Sides > added_item,false,26
Appetizers > Menu > Kids Menu,false,26
viewed_favourite_store > Menu > Kids Menu > Menu,false,25
viewed_favourite_store > Appetizers > added_item > Appetizers,false,25
viewed_favourite_store > Menu > Dessert,false,25
Drinks > Appetizers > Menu,false,25
Family Value Bundles > Menu,false,25
Appetizers > added_item > Sauces & Sides > added_item,false,25
added_item > Drinks > added_item,false,25
Menu > added_item > Kids Menu > added_item,false,25
Appetizers > ,false,23
Menu > Sauces & Sides > Menu > Appetizers,false,23
Menu > Appetizers > Menu > added_item,false,23
Quick_Reorder > Appetizers > Menu,false,23
Kids Menu > Menu > Appetizers,false,23
Menu > Sauces & Sides > Appetizers,false,22
viewed_favourite_store > Dessert > added_item,false,21
Quick_Reorder > viewed_favourite_store > Appetizers > Menu,false,21
added_item > Dessert > added_item,false,21
Quick_Reorder > added_item,false,21
viewed_favourite_store > Appetizers > added_item > Appetizers > added_item > Appetizers > added_item,false,20
Menu > Family Value Bundles,false,20
Menu > added_item > Appetizers > added_item > Menu > added_item,false,20
viewed_favourite_store > Menu > added_item > Menu > added_item > Menu > added_item,false,19
Menu > Appetizers > Menu > Sauces & Sides,false,19
viewed_favourite_store > Menu > viewed_favourite_store,false,19
viewed_favourite_store > Menu > added_item > Menu > added_item > Appetizers > added_item,false,19
viewed_favourite_store > added_item > Menu > added_item,false,19
Menu > added_item > Dessert,false,19
Quick_Reorder > Menu > Appetizers,false,18
viewed_favourite_store > Menu Extras,false,18
viewed_favourite_store > Appetizers > Menu > Sauces & Sides,false,18
Appetizers > Sauces & Sides > Menu,false,18
viewed_favourite_store > Menu > added_item > Drinks > added_item,false,18
viewed_favourite_store > added_item > Menu,false,18
Appetizers > added_item > Menu > added_item > Menu,false,18
Menu > added_item > Menu > Appetizers > added_item,false,18
Menu > Sauces & Sides > Appetizers > Menu,false,18
Appetizers > added_item > Appetizers > added_item > Menu > added_item,false,18
Appetizers > Menu > Menu Extras,false,18
