journey,conversion_flg,counts
GuidedMenuViewController,false,4048
StoreTableViewController > GuidedMenuViewController,false,2466
ProductListActivity,false,2067
StoreTableViewController,false,1576
GuidedMenuViewController > PV: Entrees,false,1012
ProductListActivity > PV: Entrees > ProductActivity > CheckoutActivity,false,971
ProductActivity > CheckoutActivity,false,644
StoreTableViewController > GuidedMenuViewController > PV: Entrees,false,643
GuidedMenuViewController > PV: Appetizers,false,601
ProductListActivity > PV: Entrees,false,542
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > CheckoutActivity,false,513
GuidedMenuViewController > PV: Entrees > GuidedMenuViewController,false,401
StoreTableViewController > GuidedMenuViewController > PV: Appetizers,false,363
ProductListActivity > PV: Appetizers > ProductActivity > CheckoutActivity,false,329
ProductListActivity > PV: Appetizers,false,315
CheckoutActivity,false,295
ProductListActivity > PV: Entrees > ProductListActivity,false,289
StoreTableViewController > GuidedMenuViewController > PV: Entrees > GuidedMenuViewController,false,264
GuidedMenuViewController > PV: Appetizers > GuidedMenuViewController,false,253
GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Entrees,false,213
ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > CheckoutActivity,false,205
GuidedMenuViewController > PV: Entrees > ProductViewController,false,193
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Appetizers > ProductActivity > CheckoutActivity,false,180
ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Appetizers > ProductActivity > CheckoutActivity,false,149
ProductListActivity > PV: Entrees > ProductActivity,false,143
ProductListActivity > PV: Appetizers > ProductListActivity,false,133
GuidedMenuViewController > PV: Appetizers > ProductViewController,false,128
StoreTableViewController > GuidedMenuViewController > PV: Entrees > ProductViewController,false,123
ProductListActivity > PV: Entrees > ProductListActivity > PV: Entrees,false,123
GuidedMenuViewController > PV: Entrees > ProductViewController > GuidedMenuViewController,false,120
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > CheckoutActivity,false,114
ProductListActivity > ProductActivity > CheckoutActivity,false,114
GuidedMenuViewController > PV:  Menu,false,111
GuidedMenuViewController > ProductViewController,false,110
StoreTableViewController > GuidedMenuViewController > PV: Appetizers > GuidedMenuViewController,false,107
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Appetizers > ProductActivity > CheckoutActivity,false,103
ProductListActivity > PV: Entrees > ProductActivity > PV: Entrees > CheckoutActivity,false,96
StoreTableViewController > GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Entrees,false,96
StoreTableViewController > GuidedMenuViewController > StoreTableViewController > GuidedMenuViewController,false,95
ProductActivity,false,94
GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Entrees > GuidedMenuViewController,false,92
GuidedMenuViewController > PV: Entrees > ProductViewController > BasketViewController,false,92
GuidedMenuViewController > PV: Appetizers > ProductViewController > GuidedMenuViewController,false,83
GuidedMenuViewController > PV: Drinks,false,82
GuidedMenuViewController > PV: Dessert,false,80
StoreTableViewController > GuidedMenuViewController > PV: Entrees > ProductViewController > GuidedMenuViewController,false,79
ProductListActivity > PV: Appetizers > ProductActivity,false,79
