item_category,sessions_session_and_user_id,
Appetizers,43671,Appetizers
Pasta,22127,Menu
Chicken,22111,Menu
Steaks & Ribs,20843,Menu
Sandwiches & More,18805,Menu
Handcrafted Burgers,18726,Menu
Salads,13948,Menu
Sauces & Sides,13481,Sauces & Sides
Kids Menu,12833,Kids Menu
Seafood,12480,Menu
Desserts,10209,Dessert
2 for $25,9517,Offers
Non-Alcoholic Beverages,8692,Drinks
Irresist-A-Bowls®,7066,Menu
Irresist-A-Bowls,6959,Menu
2 for $24,6197,Offers
Cheetos® Exclusive  Flavors,4987,CHEETOS  EXCLUSIVE FLAVORS
Extras,4617,Menu Extras
Exclusive Cheetos® Flavors,4006,CHEETOS  EXCLUSIVE FLAVORS
Catering,2707,
Signature Cocktails,2363,Drinks
Signature Cocktails To Go,2334,Drinks
Family Bundle Meals,2034,Family Value Bundles
2 for $22,1434,Offers
2 for $22/-/27,1020,Offers
Beer and Wine,783,Menu
2 for $25 (Price may vary by location or selection.),725,Offers
2 for $23,700,Offers
Beer and Wine To Go,574,Drinks
2 for $2X,572,Offers
"$9.99 Lunch Meal Deals, $1 Drinks",546,Menu
Mucho Cocktails,451,Menu
2 for $24 - 29,263,Offers
$13.99 Burger Bundle,179,Menu
Lunch Specials (Mon-Fri Until 4pm),89,Other
Kid's Menu,82,Other
Steaks,68,Other
$14.99 Burger Bundle,64,Other
$9.99 Burger Bundle,57,Other
Ribs,54,Other
2 for $26,14,Other
Packaging,11,Other
2 for $37,9,Other
2 for $30,9,Other
Beer & Wine To Go,4,Other
2 for $28,3,Other
Party Platters,2,Other
Wings & Tenders,1,Other
National Cheeseburger Day,1,Other
Support Alex’s Lemonade Stand Foundation -- Crush Childhood Cancer,1,Other
,0,Other
